material_id,formula,Number of Atoms,Volume (A3),Density (g cm-3),Atomic mass (amu),K_VRH_pred,G_VRH_pred,K_VRH_spread_log10,G_VRH_spread_log10,Poisson ratio,Gruneisen parameter,Kappa_cal (W m-1 K-1),Kappa_cal_p05,Kappa_cal_p50,Kappa_cal_p95,space_group,crystal_system,p95_p05_ratio,confidence_old,confidence
c635459bbc,Rb4RuO4,9,199.8814525925061,4.211454699939388,506.9388,22.355555209291182,10.129351390776772,0.32411010268357526,0.12100870659651723,0.3031760228964362,1.7925853735594353,0.6330332426705559,0.10737574936219593,0.6211866615993484,2.832886444105733,C2/m,monoclinic,26.382925948669698,moderate,wide
568c80f9cb,Rb3IrO4,8,167.71166593607853,5.075509873928903,512.6179999999999,23.02755902321739,12.067182239162044,0.30506590964110886,0.0823043818350563,0.2769463371481528,1.6382855094136053,0.9252908817744716,0.2173704276829236,0.90528654179806,2.8412566378119926,I4/mmm,tetragonal,13.071035780251163,tight,wide
bf1f5d1c8c,Rb2HPtI5,9,366.946641731045,4.532301246775036,1001.54989,12.060402730929082,6.379401072427502,0.11629752391398876,0.2111672641251252,0.2751653048711832,1.6285579429699624,0.4384741205219786,0.05382323882729094,0.42905110485139825,2.9079938246035657,I4mm,tetragonal,54.02859225797974,moderate,wide
bcf3ef5d3b,CsK2SbO4,8,182.6576449615065,3.6078476594659903,396.8596519,26.679781594738188,8.978495695804027,0.2096175452621123,0.18687098476490843,0.34870736617421,2.1208805090546594,0.4514134316518436,0.0645089267546575,0.45327457583929304,2.9482324141297127,I-42m,tetragonal,45.70270445426148,moderate,wide
c379a102ce,Cs2NbFeS4,8,258.7055175264118,3.484183941450944,542.8222838,12.738962232497755,6.00782315461416,0.10479223636415298,0.21410259462363376,0.296228516545218,1.749588313353049,0.4065215164475623,0.04343538399559205,0.4062169356439818,3.0027310125419078,C2,monoclinic,69.1309880637094,moderate,wide
f1af70f3ba,Zn3PBrCl2,7,183.24932339271345,3.4253967608274354,378.01076200000006,19.509149676356643,9.465763697179105,0.145864697578168,0.12308555916267333,0.2911755456690281,1.7193156821371924,0.8509010347266758,0.21220714574291943,0.8465638487324201,3.019116630552699,Pm,monoclinic,14.227214733900805,tight,wide
50b5380512,Rb3Cu(AsAu)2,8,244.5432771743216,5.865016406721174,863.725738,23.48813726291533,7.502654272984212,0.1261985909255269,0.24847955107409175,0.3556572412181572,2.179447197240328,0.2813794169325879,0.024833887115276905,0.2941635977824453,3.0467323779625803,C2/m,monoclinic,122.68447399393796,moderate,wide
aee435bf21,ErFeBr6,8,299.2873897664289,3.897842778877697,702.528,10.095817923393462,4.053853737666931,0.1657458593043527,0.31087182128121205,0.3229310108501,1.924343588545376,0.1884240083491707,0.008422668707533044,0.18087822515542717,3.0754139827666154,R3,trigonal,365.13533768887703,moderate,wide
9daac5bf43,Rb3Cu2P2Au,8,219.6283445134519,4.85705095913179,642.4094929999999,27.22359679574791,10.859440512495306,0.1614533998165501,0.15226682696591773,0.3239584986403735,1.9316121151492327,0.6627851978444085,0.12166761262938534,0.6647134317758139,3.0848122136218645,C2/m,monoclinic,25.354423802319403,moderate,wide
ea1ef1cad3,K2RbCu(AgP)2,8,212.08419354056505,3.953131710013993,504.894324,28.094158471665217,12.099852690066566,0.13842929021638134,0.12006566149053413,0.3116897631346323,1.847570574427896,0.9274582210835536,0.24539195244815287,0.9003009019618148,3.112260863164692,C2/m,monoclinic,12.68281552070156,tight,wide
